,raw,json,bird,alternate_names,scientific_name
240,The golden-breasted fruiteater (Pipreola aureopectus) is a species of bird in the family Cotingidae,"{'bird': 'The golden-breasted fruiteater', 'alternate_names': 'Pipreola aureopectus', 'scientific_name': 'Cotingidae'}",The golden-breasted fruiteater,Pipreola aureopectus,Cotingidae
241,"The golden-breasted fulvetta (Lioparus chrysotis) is a species of songbird found in Bhutan, China, India, Myanmar, Nepal, and Vietnam","{'bird': 'The golden-breasted fulvetta', 'alternate_names': 'Lioparus chrysotis', 'scientific_name': 'Lioparus chrysotis'}",The golden-breasted fulvetta,Lioparus chrysotis,Lioparus chrysotis
242,"The golden-breasted puffleg (Eriocnemis mosquera) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'bird': 'The golden-breasted puffleg', 'alternate_names': 'Eriocnemis mosquera', 'scientific_name': 'Heliantheini in subfamily Lesbiinae'}",The golden-breasted puffleg,Eriocnemis mosquera,Heliantheini in subfamily Lesbiinae
243,"The golden-breasted starling (Lamprotornis regius), also known as royal starling, is a medium-sized passerine in the starling family","{'bird': 'The golden-breasted starling', 'alternate_names': 'royal starling', 'scientific_name': 'Lamprotornis regius'}",The golden-breasted starling,royal starling,Lamprotornis regius
244,The golden-browed chat-tyrant (Silvicultrix pulchella) is a species of passerine bird in the family Tyrannidae,"{'bird': 'Golden-browed chat-tyrant', 'alternate_names': ['Silvicultrix pulchella'], 'scientific_name': 'Tyrannidae'}",Golden-browed chat-tyrant,['Silvicultrix pulchella'],Tyrannidae
245,The golden-browed chlorophonia (Chlorophonia callophrys) is a species of bird in the family Fringillidae,"{'bird': 'The golden-browed chlorophonia', 'alternate_names': 'Chlorophonia callophrys', 'scientific_name': 'Fringillidae'}",The golden-browed chlorophonia,Chlorophonia callophrys,Fringillidae
246,"The golden-browed warbler (Basileuterus belli) is a species of bird in the family Parulidae, the New World warblers","{'bird': 'golden-browed warbler', 'alternate_names': 'Basileuterus belli', 'scientific_name': 'Parulidae, the New World warblers'}",golden-browed warbler,Basileuterus belli,"Parulidae, the New World warblers"
249,The golden-cheeked woodpecker (Melanerpes chrysogenys) is a species of bird in subfamily Picinae of the woodpecker family Picidae,"{'bird': 'golden-cheeked woodpecker', 'alternate_names': 'Melanerpes chrysogenys', 'scientific_name': 'Picinae of the woodpecker family Picidae'}",golden-cheeked woodpecker,Melanerpes chrysogenys,Picinae of the woodpecker family Picidae
250,The golden-chested tanager (Bangsia rothschildi) is a species of bird in the family Thraupidae,"{'bird': 'golden-chested tanager', 'alternate_names': [], 'scientific_name': 'Bangsia rothschildi'}",golden-chested tanager,,Bangsia rothschildi
251,The golden-chevroned tanager (Thraupis ornata) is a species of bird in the family Thraupidae,"{'bird': 'golden-chevroned tanager', 'alternate_names': [], 'scientific_name': 'Thraupis ornata'}",golden-chevroned tanager,,Thraupis ornata
252,The golden-collared honeycreeper (Iridophanes pulcherrimus) is an uncommon species of Neotropical bird in the tanager family Thraupidae,"{'bird': 'golden-collared honeycreeper', 'alternate_names': ['Iridophanes pulcherrimus'], 'scientific_name': 'Iridophanes pulcherrimus'}",golden-collared honeycreeper,['Iridophanes pulcherrimus'],Iridophanes pulcherrimus
253,"The golden-collared macaw or yellow-collared macaw (Primolius auricollis) is a small mostly green Central South American parrot, a member of a large group of Neotropical parrots known as macaws","{'bird': 'macaw', 'alternate_names': ['golden-collared macaw', 'yellow-collared macaw'], 'scientific_name': 'Primolius auricollis'}",macaw,"['golden-collared macaw', 'yellow-collared macaw']",Primolius auricollis
254,The golden-collared manakin (Manacus vitellinus) is a species of bird in the family Pipridae,"{'bird': 'golden-collared manakin', 'alternate_names': 'Manacus vitellinus', 'scientific_name': 'Pipridae'}",golden-collared manakin,Manacus vitellinus,Pipridae
255,The golden-collared tanager (Iridosornis jelskii) is a species of bird in the family Thraupidae,"{'bird': 'golden-collared tanager', 'alternate_names': [], 'scientific_name': 'Iridosornis jelskii'}",golden-collared tanager,,Iridosornis jelskii
258,"The golden-crested myna (Ampeliceps coronatus) is a species in the starling and myna family, Sturnidae","{'bird': 'golden-crested myna', 'alternate_names': ['Ampeliceps coronatus'], 'scientific_name': 'Sturnidae'}",golden-crested myna,['Ampeliceps coronatus'],Sturnidae
259,The golden-crowned babbler (Sterrhoptilus dennistouni) is a species of bird in the family Zosteropidae,"{'bird': 'The golden-crowned babbler', 'alternate_names': 'None', 'scientific_name': 'Sterrhoptilus dennistouni'}",The golden-crowned babbler,None,Sterrhoptilus dennistouni
261,The golden-crowned flycatcher (Myiodynastes chrysocephalus) is a species of bird in the family Tyrannidae,"{'bird': 'The golden-crowned flycatcher', 'alternate_names': 'Myiodynastes chrysocephalus', 'scientific_name': 'Tyrannidae'}",The golden-crowned flycatcher,Myiodynastes chrysocephalus,Tyrannidae
262,The golden-crowned kinglet (Regulus satrapa) is a very small songbird in the family Regulidae that lives throughout much of North America,"{'bird': 'golden-crowned kinglet', 'alternate_names': 'Regulus satrapa', 'scientific_name': 'Regulidae'}",golden-crowned kinglet,Regulus satrapa,Regulidae
264,The golden-crowned spadebill (Platyrinchus coronatus) is a species of bird in the family Tyrannidae,"{'bird': 'golden-crowned spadebill', 'alternate_names': [], 'scientific_name': 'Platyrinchus coronatus'}",golden-crowned spadebill,,Platyrinchus coronatus
266,The golden-crowned tanager (Iridosornis rufivertex) is a species of bird in the family Thraupidae,"{'bird': 'golden-crowned tanager', 'alternate_names': [], 'scientific_name': 'Iridosornis rufivertex'}",golden-crowned tanager,,Iridosornis rufivertex
267,The golden-crowned warbler (Basileuterus culicivorus) is a small New World warbler,"{'bird': 'golden-crowned warbler', 'alternate_names': 'Basileuterus culicivorus', 'scientific_name': 'Basileuterus culicivorus'}",golden-crowned warbler,Basileuterus culicivorus,Basileuterus culicivorus
268,The golden-eared tanager (Tangara chrysotis) is a species of bird in the tanager family Thraupidae,"{'bird': 'The golden-eared tanager', 'alternate_names': 'Tangara chrysotis', 'scientific_name': 'Thraupidae'}",The golden-eared tanager,Tangara chrysotis,Thraupidae
270,The goldenface (Pachycare flavogriseum) is a species of passerine bird endemic to New Guinea,"{'bird': 'Goldenface', 'alternate_names': 'Pachycare flavogriseum', 'scientific_name': 'Pachycare flavogriseum'}",Goldenface,Pachycare flavogriseum,Pachycare flavogriseum
271,The golden-faced tyrannulet (Zimmerius chrysops) is a species of bird belonging to the family Tyrannidae,"{'bird': 'The golden-faced tyrannulet', 'alternate_names': 'Zimmerius chrysops', 'scientific_name': 'Tyrannidae'}",The golden-faced tyrannulet,Zimmerius chrysops,Tyrannidae
272,"The golden-fronted bowerbird (Amblyornis flavifrons) is a medium-sized, approximately 24 cm long, brown bowerbird","{'bird': 'golden-fronted bowerbird', 'alternate_names': 'Amblyornis flavifrons', 'scientific_name': 'Amblyornis flavifrons'}",golden-fronted bowerbird,Amblyornis flavifrons,Amblyornis flavifrons
273,"The golden-fronted fulvetta (Schoeniparus variegaticeps), also known as the gold-fronted fulvetta, is a species of bird in the family Pellorneidae","{'bird': 'golden-fronted fulvetta', 'alternate_names': ['gold-fronted fulvetta'], 'scientific_name': 'Schoeniparus variegaticeps'}",golden-fronted fulvetta,['gold-fronted fulvetta'],Schoeniparus variegaticeps
275,The golden-fronted leafbird (Chloropsis aurifrons) is a species of leafbird,"{'bird': 'Golden-fronted Leafbird', 'alternate_names': 'Chloropsis aurifrons', 'scientific_name': 'Chloropsis aurifrons'}",Golden-fronted Leafbird,Chloropsis aurifrons,Chloropsis aurifrons
276,"The golden-fronted whitestart (Myioborus ornatus) or the golden-fronted redstart, is a species of bird in the family Parulidae","{'bird': 'golden-fronted whitestart', 'alternate_names': ['golden-fronted redstart'], 'scientific_name': 'Myioborus ornatus', 'family': 'Parulidae'}",golden-fronted whitestart,['golden-fronted redstart'],Myioborus ornatus
277,The golden-fronted woodpecker (Melanerpes aurifrons) is a species of bird in subfamily Picinae of the woodpecker family Picidae,"{'bird': 'golden-fronted woodpecker', 'alternate_names': 'Melanerpes aurifrons', 'scientific_name': 'Picinae of the woodpecker family Picidae'}",golden-fronted woodpecker,Melanerpes aurifrons,Picinae of the woodpecker family Picidae
278,The golden-green woodpecker (Piculus chrysochloros) is a species of bird in subfamily Picinae of the woodpecker family Picidae,"{'bird': 'golden-green woodpecker', 'alternateNames': 'Piculus chrysochloros', 'scientificName': 'Picinae of the woodpecker family Picidae'}",golden-green woodpecker,,
279,"The golden-headed cisticola (Cisticola exilis), also known as the bright-capped cisticola, is a species of warbler in the family Cisticolidae, found in Australia and thirteen Asian countries","{'bird': 'The golden-headed cisticola', 'alternate_names': 'bright-capped cisticola', 'scientific_name': 'Cisticola exilis'}",The golden-headed cisticola,bright-capped cisticola,Cisticola exilis
280,"The golden-headed manakin (Ceratopipra erythrocephala) is a small passerine bird which breeds in tropical Central and South America in both wet and dry forests, secondary growth and plantations","{'bird': 'The golden-headed manakin', 'alternate_names': 'Ceratopipra erythrocephala', 'scientific_name': 'Ceratopipra erythrocephala'}",The golden-headed manakin,Ceratopipra erythrocephala,Ceratopipra erythrocephala
281,The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps,"{'bird': 'golden-headed quetzal or corequenque', 'alternate_names': ['Trogon auriceps'], 'scientific_name': 'Pharomachrus auriceps'}",golden-headed quetzal or corequenque,['Trogon auriceps'],Pharomachrus auriceps
282,The golden-hooded tanager (Stilpnia larvata) is a medium-sized passerine bird,"{'bird': 'golden-hooded tanager', 'alternate_names': 'Stilpnia larvata', 'scientific_name': 'Stilpnia larvata'}",golden-hooded tanager,Stilpnia larvata,Stilpnia larvata
283,The golden-mantled racket-tail (Prioniturus platurus) is a species of parrot in the family Psittaculidae,"{'bird': 'Golden-mantled Racket-tail', 'alternate_names': ['Prioniturus platurus'], 'scientific_name': 'Psittaculidae'}",Golden-mantled Racket-tail,['Prioniturus platurus'],Psittaculidae
285,The golden-naped finch (Pyrrhoplectes epauletta) is a species of finch in the family Fringillidae,"{'bird': 'golden-naped finch', 'alternate_names': 'Pyrrhoplectes epauletta', 'scientific_name': 'Fringillidae'}",golden-naped finch,Pyrrhoplectes epauletta,Fringillidae
286,The golden-naped tanager (Chalcothraupis ruficervix) is a species of bird in the tanager family Thraupidae,"{'bird': 'golden-naped tanager', 'alternate_names': [], 'scientific_name': 'Chalcothraupis ruficervix'}",golden-naped tanager,,Chalcothraupis ruficervix
287,The golden-naped weaver (Ploceus aureonucha) is a species of bird in the family Ploceidae,"{'bird': 'The golden-naped weaver', 'alternate_names': 'Ploceus aureonucha', 'scientific_name': 'Ploceidae'}",The golden-naped weaver,Ploceus aureonucha,Ploceidae
288,The golden-naped woodpecker (Melanerpes chrysauchen) is a species of bird in the woodpecker family Picidae,"{'bird': 'The golden-naped woodpecker', 'alternate_names': 'Melanerpes chrysauchen', 'scientific_name': 'Picidae'}",The golden-naped woodpecker,Melanerpes chrysauchen,Picidae
289,The golden-olive woodpecker (Colaptes rubiginosus) is a species of bird in subfamily Picinae of the woodpecker family Picidae,"{'bird': 'golden-olive woodpecker', 'alternate_names': 'Colaptes rubiginosus', 'scientific_name': 'Picinae of the woodpecker family Picidae'}",golden-olive woodpecker,Colaptes rubiginosus,Picinae of the woodpecker family Picidae
290,"The golden-plumed parakeet (Leptosittaca branickii) is a Neotropical parrot species within the family Psittacidae, belonging to the monotypic genus Leptosittaca","{'bird': 'golden-plumed parakeet', 'alternate_names': 'Leptosittaca branickii', 'scientific_name': 'Psittacidae, Leptosittaca'}",golden-plumed parakeet,Leptosittaca branickii,"Psittacidae, Leptosittaca"
292,The golden-rumped flowerpecker (Dicaeum annae) is a species of bird in the family Dicaeidae,"{'bird': 'golden-rumped flowerpecker', 'alternate_names': 'Dicaeum annae', 'scientific_name': 'Dicaeidae'}",golden-rumped flowerpecker,Dicaeum annae,Dicaeidae
294,The golden-sided euphonia (Euphonia cayennensis) is a species of bird in the family Fringillidae,"{'bird': 'The golden-sided euphonia', 'alternate_names': 'Euphonia cayennensis', 'scientific_name': 'Fringillidae'}",The golden-sided euphonia,Euphonia cayennensis,Fringillidae
295,The golden-spangled piculet (Picumnus exilis) is a species of bird in subfamily Picumninae of the woodpecker family Picidae,"{'bird': 'golden-spangled piculet', 'alternate_names': ['Picumnus exilis'], 'scientific_name': 'Picumnus exilis'}",golden-spangled piculet,['Picumnus exilis'],Picumnus exilis
296,The golden-spotted ground dove (Metriopelia aymara) is a species of bird in the family Columbidae,"{'bird': 'Golden-spotted ground dove', 'alternate_names': 'Metriopelia aymara', 'scientific_name': 'Columbidae'}",Golden-spotted ground dove,Metriopelia aymara,Columbidae
301,"The golden-tufted mountain grackle (Macroagelaius imthurni), also known as the golden-tufted grackle, is a species of bird in the family Icteridae","{'bird': 'The golden-tufted mountain grackle', 'alternate_names': 'golden-tufted grackle', 'scientific_name': 'Macroagelaius imthurni', 'family': 'Icteridae'}",The golden-tufted mountain grackle,golden-tufted grackle,Macroagelaius imthurni
303,The golden-winged cacique (Cacicus chrysopterus) is a species of bird in the family Icteridae,"{'bird': 'The golden-winged cacique', 'alternate_names': 'Cacicus chrysopterus', 'scientific_name': 'Icteridae'}",The golden-winged cacique,Cacicus chrysopterus,Icteridae
305,The golden-winged manakin (Masius chrysopterus) is a species of bird in the family Pipridae,"{'bird': 'golden-winged manakin', 'alternate_names': 'Masius chrysopterus', 'scientific_name': 'Pipridae'}",golden-winged manakin,Masius chrysopterus,Pipridae
307,The golden-winged sparrow (Arremon schlegeli) is a species of bird in the family Passerellidae that can found in Colombia and Venezuela,"{'bird': 'golden-winged sparrow', 'alternate_names': 'Arremon schlegeli', 'scientific_name': 'Passerellidae'}",golden-winged sparrow,Arremon schlegeli,Passerellidae
308,The golden-winged sunbird (Drepanorhynchus reichenowi) is a species of bird in the family Nectariniidae,"{'bird': 'The golden-winged sunbird', 'alternate_names': 'Drepanorhynchus reichenowi', 'scientific_name': 'Nectariniidae'}",The golden-winged sunbird,Drepanorhynchus reichenowi,Nectariniidae
309,"The golden-winged tody-flycatcher (Poecilotriccus calopterus) is a species of bird in the family Tyrannidae, and one of twelve in the genus Poecilotriccus","{'bird': 'The golden-winged tody-flycatcher', 'alternateNames': ['Poecilotriccus calopterus'], 'scientificName': 'Poecilotriccus calopterus'}",The golden-winged tody-flycatcher,,
310,The golden-winged warbler (Vermivora chrysoptera) is a New World warbler,"{'bird': 'golden-winged warbler', 'alternate_names': 'Vermivora chrysoptera', 'scientific_name': 'New World warbler'}",golden-winged warbler,Vermivora chrysoptera,New World warbler
311,Goldie's bird-of-paradise (Paradisaea decora) is a species of bird-of-paradise,"{'bird': ""Goldie's bird-of-paradise"", 'alternateNames': 'Paradisaea decora', 'scientificName': 'Paradisaea decora'}",Goldie's bird-of-paradise,,
312,Goldie's lorikeet (Glossoptilus goldiei) is a species of parrot in the family Psittaculidae,"{'bird': 'lorikeet', 'alternate_names': ['Glossoptilus goldiei'], 'scientific_name': 'Psittaculidae'}",lorikeet,['Glossoptilus goldiei'],Psittaculidae
313,Goldman's warbler (Setophaga goldmani) is a songbird species in the New World warbler family (Parulidae),"{'bird': ""Goldman's warbler"", 'alternate_names': 'Setophaga goldmani', 'scientific_name': 'Parulidae'}",Goldman's warbler,Setophaga goldmani,Parulidae
314,"The gold-ringed tanager (Bangsia aureocincta) is a species of bird in the family Thraupidae, endemic to Colombia","{'bird': 'gold-ringed tanager', 'alternate_names': [], 'scientific_name': 'Bangsia aureocincta'}",gold-ringed tanager,,Bangsia aureocincta
315,The goliath coucal (Centropus goliath) is a species of cuckoo in the family Cuculidae,"{'bird': 'Goliath Coucal', 'alternate_names': [], 'scientific_name': 'Centropus goliath'}",Goliath Coucal,,Centropus goliath
317,"The goliath imperial pigeon (Ducula goliath), also known as the New Caledonian imperial pigeon[2] and the notou,[3] is a species of bird in the family Columbidae","{'bird': 'Goliath Imperial Pigeon', 'alternate_names': ['New Caledonian Imperial Pigeon', 'Notou'], 'scientific_name': 'Ducula goliath'}",Goliath Imperial Pigeon,"['New Caledonian Imperial Pigeon', 'Notou']",Ducula goliath
319,"The gorgeted puffleg (Eriocnemis isabellae) is a Critically Endangered species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'bird': 'Gorgeted puffleg', 'alternate_names': 'None', 'scientific_name': 'Eriocnemis isabellae'}",Gorgeted puffleg,None,Eriocnemis isabellae
320,"The gorgeted sunangel (Heliangelus strophianus) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae","{'Bird': 'Gorgeted Sunangel', 'Alternate Names': 'Heliangelus Strophianus', 'Scientific Name': 'Heliangelus Strophianus'}",,,
321,The rare gorgeted wood quail (Odontophorus strophium) is a small ground-dwelling bird,"{'bird': 'gorgeted wood quail', 'alternate_names': ['Odontophorus strophium'], 'scientific_name': 'Odontophorus strophium'}",gorgeted wood quail,['Odontophorus strophium'],Odontophorus strophium
323,Gosling's apalis (Apalis goslingi) is a species of bird in the family Cisticolidae,"{'bird': ""Gosling's Apalis"", 'alternate_names': 'Apalis goslingi', 'scientific_name': 'Cisticolidae'}",Gosling's Apalis,Apalis goslingi,Cisticolidae
324,"Gosling's bunting[2] (Emberiza goslingi), also known as the grey-throated bunting,[1] is a species of bird in the family Emberizidae","{'bird': ""Gosling's bunting"", 'alternate_names': ['grey-throated bunting'], 'scientific_name': 'Emberiza goslingi'}",Gosling's bunting,['grey-throated bunting'],Emberiza goslingi
326,"The Gough moorhen (Gallinula comeri) is a medium-sized, almost flightless bird that is similar to the common moorhen (Gallinula chloropus), but is smaller, stockier, and has shorter wings","{'bird': 'Gough moorhen', 'alternate_names': ['common moorhen'], 'scientific_name': 'Gallinula comeri'}",Gough moorhen,['common moorhen'],Gallinula comeri
327,"The Gouldian finch (Chloebia gouldiae), also known as the Lady Gouldian finch, Gould's finch or the rainbow finch, is a colourful passerine bird that is native to Australia","{'bird': 'Gouldian finch', 'alternate_names': ['Lady Gouldian finch', ""Gould's finch"", 'rainbow finch'], 'scientific_name': 'Chloebia gouldiae'}",Gouldian finch,"['Lady Gouldian finch', ""Gould's finch"", 'rainbow finch']",Chloebia gouldiae
328,Gould's emerald (Riccordia elegans) is an extinct species of hummingbird in the family Trochilidae,"{'bird': 'hummingbird', 'alternate_names': ""Gould's emerald"", 'scientific_name': 'Riccordia elegans', 'family': 'Trochilidae'}",hummingbird,Gould's emerald,Riccordia elegans
329,Gould's frogmouth (Batrachostomus stellatus) is a nocturnal species of bird in the order Caprimulgiformes and the family Podargidae,"{'bird': ""Gould's frogmouth"", 'alternate_names': 'Batrachostomus stellatus', 'scientific_name': 'Podargidae'}",Gould's frogmouth,Batrachostomus stellatus,Podargidae
330,Gould's jewelfront or Gould's brilliant  (Heliodoxa aurescens) is a medium-sized hummingbird in the family Trochilidae,"{'bird': ""Gould's jewelfront"", 'alternate_names': ""Gould's brilliant"", 'scientific_name': 'Heliodoxa aurescens', 'family': 'Trochilidae'}",Gould's jewelfront,Gould's brilliant,Heliodoxa aurescens
332,Gould's petrel (Pterodroma leucoptera) is a species of seabird in the family Procellariidae,"{'bird': ""Gould's petrel"", 'alternate_names': 'Pterodroma leucoptera', 'scientific_name': 'Procellariidae'}",Gould's petrel,Pterodroma leucoptera,Procellariidae
334,Gould's toucanet (Selenidera gouldii) is a near-passerine bird in the toucan family Ramphastidae,"{'bird': ""Gould's toucanet"", 'alternate_names': 'Selenidera gouldii', 'scientific_name': 'Ramphastidae'}",Gould's toucanet,Selenidera gouldii,Ramphastidae
335,The graceful honeyeater (Microptilotis gracilis) is a species of bird in the family Meliphagidae,"{'bird': 'honeyeater', 'alternate_names': ['Microptilotis gracilis'], 'scientific_name': 'Microptilotis gracilis'}",honeyeater,['Microptilotis gracilis'],Microptilotis gracilis
336,"The graceful pitta (Erythropitta venusta), sometimes alternatively known as the black-crowned pitta (although this term is more regularly applied to E","{'bird': 'pitta', 'alternate_names': ['black-crowned pitta'], 'scientific_name': 'Erythropitta venusta'}",pitta,['black-crowned pitta'],Erythropitta venusta
337,The graceful prinia (Prinia gracilis) is a small warbler (in some older works it is referred to as graceful warbler),"{'bird': 'Prinia gracilis', 'alternate_names': 'Graceful Warbler', 'scientific_name': 'Prinia gracilis'}",Prinia gracilis,Graceful Warbler,Prinia gracilis
338,Grace's warbler (Setophaga graciae) is a small New World warbler that specializes in pine woods,"{'bird': ""Grace's warbler"", 'alternate_names': 'Setophaga graciae', 'scientific_name': 'Setophaga graciae'}",Grace's warbler,Setophaga graciae,Setophaga graciae
340,The Grand Comoro brush warbler (Nesillas brevicaudata) is a species of Old World warbler in the family Acrocephalidae,"{'bird': 'Grand Comoro brush warbler', 'alternate_names': 'Nesillas brevicaudata', 'scientific_name': 'Acrocephalidae'}",Grand Comoro brush warbler,Nesillas brevicaudata,Acrocephalidae
341,"The Grand Comoro bulbul (Hypsipetes parvirostris) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'Grand Comoro bulbul', 'alternate_names': 'Hypsipetes parvirostris', 'scientific_name': 'Pycnonotidae'}",Grand Comoro bulbul,Hypsipetes parvirostris,Pycnonotidae
342,The Grand Comoro drongo (Dicrurus fuscipennis) is a species of bird in the family Dicruridae,"{'bird': 'Grand Comoro drongo', 'alternate_names': 'Dicrurus fuscipennis', 'scientific_name': 'Dicruridae'}",Grand Comoro drongo,Dicrurus fuscipennis,Dicruridae
343,"The grand rhabdornis (Rhabdornis grandis), also known as the long-billed rhabdornis or long-billed creeper, is a species of bird currently placed in the starling family, Sturnidae","{'bird': 'grand rhabdornis', 'alternate_names': ['long-billed rhabdornis', 'long-billed creeper'], 'scientific_name': 'Rhabdornis grandis'}",grand rhabdornis,"['long-billed rhabdornis', 'long-billed creeper']",Rhabdornis grandis
344,The grandala (Grandala coelicolor) is a species of bird in the thrush family Turdidae,"{'bird': 'Grandala', 'alternate_names': ['Grandala coelicolor'], 'scientific_name': 'Turdidae'}",Grandala,['Grandala coelicolor'],Turdidae
345,Grant's bluebill (Spermophaga poliogenys) is a species of estrildid finch found in forests in central Africa in subtropical forests or in moist lowlands,"{'bird': ""Grant's bluebill"", 'alternate_names': 'Spermophaga poliogenys', 'scientific_name': 'Estrildid Finch'}",Grant's bluebill,Spermophaga poliogenys,Estrildid Finch
347,The grass wren (Cistothorus platensis) is a species of passerine bird in the family Troglodytidae,"{'bird': 'Grass Wren', 'alternate_names': [], 'scientific_name': 'Cistothorus platensis'}",Grass Wren,,Cistothorus platensis
348,The grass-green tanager (Chlorornis riefferii) is a small South America bird in the tanager family Thraupidae,"{'bird': 'grass-green tanager', 'alternate_names': [], 'scientific_name': 'Chlorornis riefferii'}",grass-green tanager,,Chlorornis riefferii
349,The grasshopper buzzard (Butastur rufipennis) is a species of bird of prey in the family Accipitridae which is found in a narrow zone of sub-Saharan Africa north of the equator,"{'bird': 'grasshopper buzzard', 'alternate_names': [], 'scientific_name': 'Butastur rufipennis'}",grasshopper buzzard,,Butastur rufipennis
351,The grassland sparrow (Ammodramus humeralis) is a species of bird in the family Passerellidae,"{'bird': 'Grassland Sparrow', 'alternate_names': 'Ammodramus humeralis', 'scientific_name': 'Passerellidae'}",Grassland Sparrow,Ammodramus humeralis,Passerellidae
353,"Grauer's broadbill (Pseudocalyptomena graueri), also known as the African green broadbill, is a species of bird in the family Eurylaimidae, and is monotypic within the genus Pseudocalyptomena","{'bird': ""Grauer's broadbill"", 'alternate_names': 'African green broadbill', 'scientific_name': 'Pseudocalyptomena graueri'}",Grauer's broadbill,African green broadbill,Pseudocalyptomena graueri
355,Grauer's swamp warbler (Bradypterus graueri) is a species of Old World warbler in the family Locustellidae,"{'bird': ""Grauer's swamp warbler"", 'alternate_names': 'Bradypterus graueri', 'scientific_name': 'Locustellidae'}",Grauer's swamp warbler,Bradypterus graueri,Locustellidae
356,Grauer's warbler (Graueria vittata) is a species of Old World warbler in the family Acrocephalidae,"{'bird': ""Grauer's warbler"", 'alternate_names': [], 'scientific_name': 'Graueria vittata'}",Grauer's warbler,,Graueria vittata
358,The gray-barred wren (Campylorhynchus megalopterus) is a species of bird in the family Troglodytidae,"{'bird': 'gray-barred wren', 'alternate_names': 'Campylorhynchus megalopterus', 'scientific_name': 'Troglodytidae'}",gray-barred wren,Campylorhynchus megalopterus,Troglodytidae
361,"The gray kingbird or grey kingbird (Tyrannus dominicensis), also known as pitirre, petchary or white-breasted kingbird, is a passerine bird in the tyrant flycatchers family Tyrannidae","{'bird': 'gray kingbird', 'alternate_names': ['pitirre', 'petchary', 'white-breasted kingbird'], 'scientific_name': 'Tyrannus dominicensis'}",gray kingbird,"['pitirre', 'petchary', 'white-breasted kingbird']",Tyrannus dominicensis
362,The gray thrasher (Toxostoma cinereum) is a medium-sized passerine bird belonging to the family Mimidae,"{'bird': 'gray thrasher', 'alternate_names': [], 'scientific_name': 'Toxostoma cinereum'}",gray thrasher,,Toxostoma cinereum
363,The gray vireo (Vireo vicinior) is a small North American passerine bird,"{'bird': 'gray vireo', 'alternate_names': ['Vireo vicinior'], 'scientific_name': 'Vireo vicinior'}",gray vireo,['Vireo vicinior'],Vireo vicinior
365,The gray-headed kite (Leptodon cayanensis) is a raptor found in open woodland and swamp forests,"{'bird': 'gray-headed kite', 'alternate_names': 'Leptodon cayanensis', 'scientific_name': 'Leptodon cayanensis'}",gray-headed kite,Leptodon cayanensis,Leptodon cayanensis
369,The gray-throated warbling finch (Microspingus cabanisi) is a species of bird in the family Thraupidae,"{'bird': 'gray-throated warbling finch', 'alternate_names': ['Microspingus cabanisi'], 'scientific_name': 'Thraupidae'}",gray-throated warbling finch,['Microspingus cabanisi'],Thraupidae
370,The great antpitta (Grallaria excelsa) is a species of bird in the family Grallariidae,"{'bird': 'The great antpitta', 'alternate_names': 'Grallaria excelsa', 'scientific_name': 'Grallariidae'}",The great antpitta,Grallaria excelsa,Grallariidae
371,"The great antshrike (Taraba major) is a passerine bird in the antbird family, Thamnophilidae","{'bird': 'antshrike', 'alternate_names': ['Taraba major'], 'scientific_name': 'Thamnophilidae'}",antshrike,['Taraba major'],Thamnophilidae
372,The great argus (Argusianus argus) is a species of pheasant from Southeast Asia,"{'bird': 'argus', 'alternate_names': 'Argusianus argus', 'scientific_name': 'Argusianus argus'}",argus,Argusianus argus,Argusianus argus
373,The great auk (Pinguinus impennis) is a species of flightless alcid that became extinct in the mid-19th century,"{'bird': 'The great auk', 'alternateNames': ['Pinguinus impennis'], 'scientificName': 'Pinguinus impennis'}",The great auk,,
374,"The great barbet (Psilopogon virens) is an Asian barbet native to the Indian sub-continent and Southeast Asia, where it inhabits foremost forests up to 3,000 m (9,800 ft) altitude","{'bird': 'Great barbet', 'alternate_names': 'Psilopogon virens', 'scientific_name': 'Psilopogon virens'}",Great barbet,Psilopogon virens,Psilopogon virens
375,"The great black hawk (Buteogallus urubitinga) is a bird of prey in the family Accipitridae, which also includes the eagles, hawks, and Old World vultures","{'bird': 'great black hawk', 'alternate_names': ['Buteogallus urubitinga'], 'scientific_name': 'Accipitridae'}",great black hawk,['Buteogallus urubitinga'],Accipitridae
376,The great black-backed gull (Larus marinus) is the largest member of the gull family,"{'bird': 'Great black-backed gull', 'alternate_names': ['Larus marinus'], 'scientific_name': 'Larus marinus'}",Great black-backed gull,['Larus marinus'],Larus marinus
377,"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands","{'bird': 'The great blue heron', 'alternate_names': 'Ardea herodias', 'scientific_name': 'Ardeidae'}",The great blue heron,Ardea herodias,Ardeidae
