,raw,bird,alternate_names,scientific_name
188,The golden-eared tanager (Tangara chrysotis) is a species of bird in the tanager family Thraupidae,golden-eared tanager,,Tangara chrysotis
189,The goldenface (Pachycare flavogriseum) is a species of passerine bird endemic to New Guinea,Goldenface,,Pachycare flavogriseum
190,The golden-faced tyrannulet (Zimmerius chrysops) is a species of bird belonging to the family Tyrannidae,golden-faced tyrannulet,,Zimmerius chrysops
191,"The golden-fronted bowerbird (Amblyornis flavifrons) is a medium-sized, approximately 24 cm long, brown bowerbird",golden-fronted bowerbird,,Amblyornis flavifrons
192,"The golden-fronted fulvetta (Schoeniparus variegaticeps), also known as the gold-fronted fulvetta, is a species of bird in the family Pellorneidae",golden-fronted fulvetta,gold-fronted fulvetta,Schoeniparus variegaticeps
193,The golden-fronted leafbird (Chloropsis aurifrons) is a species of leafbird,Golden-fronted Leafbird,,Chloropsis aurifrons
194,"The golden-fronted whitestart (Myioborus ornatus) or the golden-fronted redstart, is a species of bird in the family Parulidae",golden-fronted whitestart,golden-fronted redstart,Myioborus ornatus
195,The golden-fronted woodpecker (Melanerpes aurifrons) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-fronted woodpecker,,Melanerpes aurifrons
196,The golden-green woodpecker (Piculus chrysochloros) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-green woodpecker,,Piculus chrysochloros
197,"The golden-headed cisticola (Cisticola exilis), also known as the bright-capped cisticola, is a species of warbler in the family Cisticolidae, found in Australia and thirteen Asian countries",golden-headed cisticola,bright-capped cisticola,Cisticola exilis
198,"The golden-headed manakin (Ceratopipra erythrocephala) is a small passerine bird which breeds in tropical Central and South America in both wet and dry forests, secondary growth and plantations",golden-headed manakin,,Ceratopipra erythrocephala
199,The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps,golden-headed quetzal,"corequenque, Trogon auriceps",Pharomachrus auriceps
200,The golden-hooded tanager (Stilpnia larvata) is a medium-sized passerine bird,golden-hooded tanager,,Stilpnia larvata
201,The golden-mantled racket-tail (Prioniturus platurus) is a species of parrot in the family Psittaculidae,Golden-mantled Racket-tail,,Prioniturus platurus
202,The golden-naped finch (Pyrrhoplectes epauletta) is a species of finch in the family Fringillidae,golden-naped finch,,Pyrrhoplectes epauletta
203,The golden-naped tanager (Chalcothraupis ruficervix) is a species of bird in the tanager family Thraupidae,golden-naped tanager,,Chalcothraupis ruficervix
204,The golden-naped weaver (Ploceus aureonucha) is a species of bird in the family Ploceidae,golden-naped weaver,,Ploceus aureonucha
205,The golden-naped woodpecker (Melanerpes chrysauchen) is a species of bird in the woodpecker family Picidae,golden-naped woodpecker,,Melanerpes chrysauchen
206,The golden-olive woodpecker (Colaptes rubiginosus) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-olive woodpecker,,Colaptes rubiginosus
207,"The golden-plumed parakeet (Leptosittaca branickii) is a Neotropical parrot species within the family Psittacidae, belonging to the monotypic genus Leptosittaca",golden-plumed parakeet,Leptosittaca branickii,"Psittacidae, Leptosittaca"
208,The golden-rumped flowerpecker (Dicaeum annae) is a species of bird in the family Dicaeidae,golden-rumped flowerpecker,,Dicaeum annae
209,The golden-sided euphonia (Euphonia cayennensis) is a species of bird in the family Fringillidae,golden-sided euphonia,,Euphonia cayennensis
210,The golden-spangled piculet (Picumnus exilis) is a species of bird in subfamily Picumninae of the woodpecker family Picidae,golden-spangled piculet,,Picumnus exilis
211,The golden-spotted ground dove (Metriopelia aymara) is a species of bird in the family Columbidae,Golden-spotted ground dove,,Metriopelia aymara
212,"The golden-tufted mountain grackle (Macroagelaius imthurni), also known as the golden-tufted grackle, is a species of bird in the family Icteridae",golden-tufted mountain grackle,golden-tufted grackle,Macroagelaius imthurni
213,The golden-winged cacique (Cacicus chrysopterus) is a species of bird in the family Icteridae,golden-winged cacique,,Cacicus chrysopterus
214,The golden-winged manakin (Masius chrysopterus) is a species of bird in the family Pipridae,golden-winged manakin,,Masius chrysopterus
215,The golden-winged sparrow (Arremon schlegeli) is a species of bird in the family Passerellidae that can found in Colombia and Venezuela,golden-winged sparrow,,Arremon schlegeli
216,The golden-winged sunbird (Drepanorhynchus reichenowi) is a species of bird in the family Nectariniidae,golden-winged sunbird,,Drepanorhynchus reichenowi
217,"The golden-winged tody-flycatcher (Poecilotriccus calopterus) is a species of bird in the family Tyrannidae, and one of twelve in the genus Poecilotriccus",golden-winged tody-flycatcher,,Poecilotriccus calopterus
218,The golden-winged warbler (Vermivora chrysoptera) is a New World warbler,golden-winged warbler,Vermivora chrysoptera,New World warbler
219,Goldie's bird-of-paradise (Paradisaea decora) is a species of bird-of-paradise,Goldie's bird-of-paradise,,Paradisaea decora
220,Goldie's lorikeet (Glossoptilus goldiei) is a species of parrot in the family Psittaculidae,lorikeet,,Glossoptilus goldiei
221,Goldman's warbler (Setophaga goldmani) is a songbird species in the New World warbler family (Parulidae),Goldman's warbler,,Setophaga goldmani
222,"The gold-ringed tanager (Bangsia aureocincta) is a species of bird in the family Thraupidae, endemic to Colombia",gold-ringed tanager,,Bangsia aureocincta
223,The goliath coucal (Centropus goliath) is a species of cuckoo in the family Cuculidae,Goliath Coucal,,Centropus goliath
224,"The goliath imperial pigeon (Ducula goliath), also known as the New Caledonian imperial pigeon[2] and the notou,[3] is a species of bird in the family Columbidae",Goliath Imperial Pigeon,"New Caledonian Imperial Pigeon, Notou",Ducula goliath
225,"The gorgeted puffleg (Eriocnemis isabellae) is a Critically Endangered species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",Gorgeted puffleg,,Eriocnemis isabellae
226,"The gorgeted sunangel (Heliangelus strophianus) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae",gorgeted sunangel,,Heliangelus strophianus
227,The rare gorgeted wood quail (Odontophorus strophium) is a small ground-dwelling bird,gorgeted wood quail,,Odontophorus strophium
228,Gosling's apalis (Apalis goslingi) is a species of bird in the family Cisticolidae,Gosling's Apalis,,Apalis goslingi
229,"Gosling's bunting[2] (Emberiza goslingi), also known as the grey-throated bunting,[1] is a species of bird in the family Emberizidae",Gosling's bunting,grey-throated bunting,Emberiza goslingi
230,"The Gough moorhen (Gallinula comeri) is a medium-sized, almost flightless bird that is similar to the common moorhen (Gallinula chloropus), but is smaller, stockier, and has shorter wings",Gough moorhen,common moorhen,Gallinula comeri
231,"The Gouldian finch (Chloebia gouldiae), also known as the Lady Gouldian finch, Gould's finch or the rainbow finch, is a colourful passerine bird that is native to Australia",Gouldian finch,"Lady Gouldian finch, ""Goulds finch"", rainbow finch",Chloebia gouldiae
232,Gould's emerald (Riccordia elegans) is an extinct species of hummingbird in the family Trochilidae,hummingbird,Goulds emerald,Riccordia elegans
233,Gould's frogmouth (Batrachostomus stellatus) is a nocturnal species of bird in the order Caprimulgiformes and the family Podargidae,Gould's frogmouth,,Batrachostomus stellatus
234,Gould's jewelfront or Gould's brilliant  (Heliodoxa aurescens) is a medium-sized hummingbird in the family Trochilidae,Gould's jewelfront,Goulds brilliant,Heliodoxa aurescens
235,Gould's petrel (Pterodroma leucoptera) is a species of seabird in the family Procellariidae,Gould's petrel,,Pterodroma leucoptera
236,Gould's toucanet (Selenidera gouldii) is a near-passerine bird in the toucan family Ramphastidae,Gould's toucanet,,Selenidera gouldii
237,The graceful honeyeater (Microptilotis gracilis) is a species of bird in the family Meliphagidae,honeyeater,,Microptilotis gracilis
238,"The graceful pitta (Erythropitta venusta), sometimes alternatively known as the black-crowned pitta (although this term is more regularly applied to E",pitta,black-crowned pitta,Erythropitta venusta
239,The graceful prinia (Prinia gracilis) is a small warbler (in some older works it is referred to as graceful warbler),Prinia gracilis,Graceful Warbler,Prinia gracilis
240,Grace's warbler (Setophaga graciae) is a small New World warbler that specializes in pine woods,Grace's warbler,,Setophaga graciae
241,The Grand Comoro brush warbler (Nesillas brevicaudata) is a species of Old World warbler in the family Acrocephalidae,Grand Comoro brush warbler,,Nesillas brevicaudata
242,"The Grand Comoro bulbul (Hypsipetes parvirostris) is a species of songbird in the bulbul family, Pycnonotidae",Grand Comoro bulbul,,Hypsipetes parvirostris
243,The Grand Comoro drongo (Dicrurus fuscipennis) is a species of bird in the family Dicruridae,Grand Comoro drongo,,Dicrurus fuscipennis
244,"The grand rhabdornis (Rhabdornis grandis), also known as the long-billed rhabdornis or long-billed creeper, is a species of bird currently placed in the starling family, Sturnidae",grand rhabdornis,"long-billed rhabdornis, long-billed creeper",Rhabdornis grandis
245,The grandala (Grandala coelicolor) is a species of bird in the thrush family Turdidae,Grandala,,Grandala coelicolor
246,Grant's bluebill (Spermophaga poliogenys) is a species of estrildid finch found in forests in central Africa in subtropical forests or in moist lowlands,Grant's bluebill,Spermophaga poliogenys,Estrildid Finch
247,The grass wren (Cistothorus platensis) is a species of passerine bird in the family Troglodytidae,Grass Wren,,Cistothorus platensis
248,The grass-green tanager (Chlorornis riefferii) is a small South America bird in the tanager family Thraupidae,grass-green tanager,,Chlorornis riefferii
249,The grasshopper buzzard (Butastur rufipennis) is a species of bird of prey in the family Accipitridae which is found in a narrow zone of sub-Saharan Africa north of the equator,grasshopper buzzard,,Butastur rufipennis
250,The grassland sparrow (Ammodramus humeralis) is a species of bird in the family Passerellidae,Grassland Sparrow,,Ammodramus humeralis
251,"Grauer's broadbill (Pseudocalyptomena graueri), also known as the African green broadbill, is a species of bird in the family Eurylaimidae, and is monotypic within the genus Pseudocalyptomena",Grauer's broadbill,African green broadbill,Pseudocalyptomena graueri
252,Grauer's swamp warbler (Bradypterus graueri) is a species of Old World warbler in the family Locustellidae,Grauer's swamp warbler,,Bradypterus graueri
253,Grauer's warbler (Graueria vittata) is a species of Old World warbler in the family Acrocephalidae,Grauer's warbler,,Graueria vittata
254,The gray-barred wren (Campylorhynchus megalopterus) is a species of bird in the family Troglodytidae,gray-barred wren,,Campylorhynchus megalopterus
255,"The gray kingbird or grey kingbird (Tyrannus dominicensis), also known as pitirre, petchary or white-breasted kingbird, is a passerine bird in the tyrant flycatchers family Tyrannidae",gray kingbird,"pitirre, petchary, white-breasted kingbird",Tyrannus dominicensis
256,The gray thrasher (Toxostoma cinereum) is a medium-sized passerine bird belonging to the family Mimidae,gray thrasher,,Toxostoma cinereum
257,The gray vireo (Vireo vicinior) is a small North American passerine bird,gray vireo,,Vireo vicinior
258,The gray-headed kite (Leptodon cayanensis) is a raptor found in open woodland and swamp forests,gray-headed kite,,Leptodon cayanensis
259,The gray-throated warbling finch (Microspingus cabanisi) is a species of bird in the family Thraupidae,gray-throated warbling finch,,Microspingus cabanisi
260,The great antpitta (Grallaria excelsa) is a species of bird in the family Grallariidae,great antpitta,,Grallaria excelsa
261,"The great antshrike (Taraba major) is a passerine bird in the antbird family, Thamnophilidae",antshrike,,Taraba major
262,The great argus (Argusianus argus) is a species of pheasant from Southeast Asia,argus,,Argusianus argus
263,The great auk (Pinguinus impennis) is a species of flightless alcid that became extinct in the mid-19th century,great auk,,Pinguinus impennis
264,"The great barbet (Psilopogon virens) is an Asian barbet native to the Indian sub-continent and Southeast Asia, where it inhabits foremost forests up to 3,000 m (9,800 ft) altitude",Great barbet,,Psilopogon virens
265,"The great black hawk (Buteogallus urubitinga) is a bird of prey in the family Accipitridae, which also includes the eagles, hawks, and Old World vultures",great black hawk,,Buteogallus urubitinga
266,The great black-backed gull (Larus marinus) is the largest member of the gull family,Great black-backed gull,,Larus marinus
267,"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands",great blue heron,,Ardea herodias
268,The great blue turaco (Corythaeola cristata) is a bird species of the  family Musophagidae,great blue turaco,,Corythaeola cristata
269,"The great bowerbird (Chlamydera nuchalis) is a common and conspicuous resident of northern Australia, from the area around Broome across the Top End to Cape York Peninsula and as far south as Mount Isa",Great Bowerbird,,Chlamydera nuchalis
270,"The great bustard (Otis tarda) is a bird in the bustard family, and it is the only living member of the genus Otis",great bustard,,Otis tarda
271,The great cuckoo-dove (Reinwardtoena reinwardti) is a species of bird in the family Columbidae,cuckoo-dove,,Reinwardtoena reinwardti
272,"The great curassow (Crax rubra) is a large, pheasant-like bird from the Neotropical rainforests, its range extending from eastern Mexico, through Central America to western Colombia and northwestern Ecuador",great curassow,,Crax rubra
273,The great eared nightjar (Lyncornis macrotis) is a species of nightjar in the family Caprimulgidae,Great eared nightjar,,Lyncornis macrotis
274,"The great egret (Ardea alba), also known as the common egret, large egret, or (in the Old World) great white egret[2] or great white heron[3][4][5] is a large, widely distributed egret",great egret,"common egret, large egret, great white egret, great white heron",Ardea alba
275,"The great grey owl (Strix nebulosa) (also great gray owl in American English) is a very large owl, documented as the world's largest species of owl by length",Great Grey Owl,great gray owl,Strix nebulosa
276,"The great hanging parrot (Loriculus stigmatus), also called Celebes hanging parrot, Sulawesi hanging parrot and maroon-rumped hanging parrot, is a species of parrot in the family Psittaculidae",great hanging parrot,"Celebes hanging parrot, Sulawesi hanging parrot, maroon-rumped hanging parrot",Loriculus stigmatus
277,The great iora (Aegithina lafresnayei) is a species of bird in the family Aegithinidae,great iora,,Aegithina lafresnayei
278,The great jacamar (Jacamerops aureus) is a species of bird in the family Galbulidae,jacamar,,Jacamerops aureus
279,"The great kiskadee (Pitangus sulphuratus), called bem-te-vi in Brazil and benteveo in Argentina, is a passerine bird in the tyrant flycatcher family Tyrannidae",great kiskadee,"bem-te-vi, benteveo",Pitangus sulphuratus
280,The great knot (Calidris tenuirostris) is a small wader,great knot,,Calidris tenuirostris
281,"The great lizard cuckoo (Coccyzus merlini) is a species of bird in the tribe Phaenicophaeini, subfamily Cuculinae of the cuckoo family Cuculidae",great lizard cuckoo,,Coccyzus merlini
282,"The great myna (Acridotheres grandis), also known as the white-vented myna, is a species of starling in the family Sturnidae",myna,white-vented myna,Acridotheres grandis
283,"The Great Nicobar serpent eagle (Spilornis klossi), also known as the South Nicobar serpent eagle, is a species of bird of prey in the family Accipitridae",Great Nicobar serpent eagle,South Nicobar serpent eagle,Spilornis klossi
284,The great potoo (Nyctibius grandis) is the largest potoo species and is widely distributed in Central and South America,potoo,great potoo,Nyctibius grandis
285,The great rosefinch (Carpodacus rubicilla) is a species of finch in the family Fringillidae,Great Rosefinch,,Carpodacus rubicilla
286,"The great rufous woodcreeper (Xiphocolaptes major) is a species of bird in the Dendrocolaptinae subfamily, the woodcreepers",Great Rufous Woodcreeper,,Xiphocolaptes major
287,The great shearwater (Ardenna gravis) is a large shearwater in the seabird family Procellariidae,shearwater,,Ardenna gravis
288,"The great shortwing (Heinrichia calligyna) is a species of bird in the family Muscicapidae, and the only member of its genus",great shortwing,,Heinrichia calligyna
289,The great shrike-tyrant (Agriornis lividus) is a species of bird in the family Tyrannidae,shrike-tyrant,,Agriornis lividus
290,The great slaty woodpecker (Mulleripicus pulverulentus) is a species of bird in the family Picidae,Great Slaty Woodpecker,,Mulleripicus pulverulentus
291,"The great sparrow (Passer motitensis), also known as the southern rufous sparrow, is found in southern Africa in dry, wooded savannah and towns",great sparrow,Southern rufous sparrow,Passer motitensis
292,"The great spotted kiwi, great grey kiwi[2] or roroa (Apteryx haastii) is a species of kiwi endemic to the South Island of New Zealand",Kiwi,"Great spotted kiwi, Great grey kiwi",Apteryx haastii
293,The great spotted woodpecker (Dendrocopos major) is a medium-sized woodpecker with pied black and white plumage and a red patch on the lower belly,Great spotted woodpecker,,Dendrocopos major
294,"The great stone-curlew or  great thick-knee (Esacus recurvirostris) is a large wader which is a resident breeder in tropical southern Asia from India, Pakistan, Sri Lanka, Bangladesh into South-east Asia",Great Stone-Curlew,Great Thick-Knee,Esacus recurvirostris
295,The great swallow-tailed swift (Panyptila sanctihieronymi) is a species of bird in subfamily Apodinae of the swift family Apodidae,swallow-tailed swift,,Panyptila sanctihieronymi
296,The great thrush (Turdus fuscater) is a species of bird in the family Turdidae,Great Thrush,,Turdus fuscater
297,The great tit (Parus major) is a passerine bird in the tit family Paridae,great tit,,Parus major
298,"The great white pelican (Pelecanus onocrotalus) also known as the eastern white pelican, rosy pelican or white pelican is a bird in the pelican family",great white pelican,"Eastern white pelican, Rosy pelican, White pelican",Pelecanus onocrotalus
299,"The great woodswallow (Artamus maximus), also known as the greater woodswallow, giant woodswallow or New Guinea woodswallow is a species of bird in the family Artamidae",great woodswallow,"greater woodswallow, giant woodswallow, New Guinea woodswallow",Artamus maximus
300,"The great xenops (Megaxenops parnaguae) is a furnariid bird, which is endemic to the Caatinga region of north-eastern Brazil",xenops,,Megaxenops parnaguae
301,The great-billed hermit (Phaethornis malaris) is a species of hummingbird in the family Trochilidae,Great-billed Hermit,,Phaethornis malaris
302,"The great-billed heron (Ardea sumatrana) is a wading bird of the heron family, resident from southeast Asia to Papua New Guinea and Australia",great-billed heron,,Ardea sumatrana
303,The great-billed kingfisher or black-billed kingfisher (Pelargopsis melanorhyncha) is a species of bird in the subfamily Halcyoninae,great-billed kingfisher,black-billed kingfisher,Pelargopsis melanorhyncha
304,The great-billed mannikin or grand munia (Lonchura grandis) is a species of estrildid finch found in northern and eastern New Guinea,great-billed mannikin,grand munia,Lonchura grandis
305,"The great-billed parrot (Tanygnathus megalorynchos) also known as Moluccan parrot or island parrot, is a medium-sized, approximately 38 cm long, green parrot with a massive red bill, cream iris, blackish shoulders, olive green back, pale blue rump and yellowish green underparts",Great-billed parrot,"Moluccan parrot, Island parrot",Tanygnathus megalorynchos
307,The greater ani (Crotophaga major) is a bird in the cuckoo family,greater ani,,Crotophaga major
308,The Greater Antillean bullfinch (Melopyrrha violacea) is a species of bird in the family Thraupidae,Greater Antillean bullfinch,,Melopyrrha violacea
309,"The Greater Antillean grackle (Quiscalus niger) is a grackle found throughout the Greater Antilles, as well as smaller nearby islands",Greater Antillean grackle,,Quiscalus niger
310,The greater bird-of-paradise (Paradisaea apoda) is a bird-of-paradise in the genus Paradisaea,greater bird-of-paradise,,Paradisaea apoda
311,The greater blue-eared starling or greater blue-eared glossy-starling (Lamprotornis chalybaeus) is a bird that breeds from Senegal east to Ethiopia and south through eastern Africa to northeastern South Africa and Angola,greater blue-eared starling,greater blue-eared glossy-starling,Lamprotornis chalybaeus
312,"The greater coucal or crow pheasant (Centropus sinensis), is a large non-parasitic member of the cuckoo order of birds, the Cuculiformes",greater coucal,crow pheasant,Centropus sinensis
313,"The greater double-collared sunbird (Cinnyris afer) (formerly placed in the genus Nectarinia), is a small bird in the sunbird family",greater double-collared sunbird,,Cinnyris afer
314,"The greater flameback (Chrysocolaptes guttacristatus) also known as greater goldenback, large golden-backed woodpecker is a woodpecker species",greater flameback,"Greater goldenback, Large golden-backed woodpecker",Chrysocolaptes guttacristatus
315,The greater flamingo (Phoenicopterus roseus) is the most widespread and largest species of the flamingo family,greater flamingo,,Phoenicopterus roseus
316,The greater flowerpiercer (Diglossa major) is a species of bird in the family Thraupidae,Greater flowerpiercer,,Diglossa major
317,The greater green leafbird (Chloropsis sonnerati) is a species of bird in the family Chloropseidae,greater green leafbird,,Chloropsis sonnerati
318,The greater ground robin (Amalocichla sclateriana) is a species of bird in the family Petroicidae,Greater Ground Robin,,Amalocichla sclateriana
319,"The greater honeyguide (Indicator indicator) is a bird in the family Indicatoridae, paleotropical near passerine birds related to the woodpeckers",greater honeyguide,,Indicator indicator
320,"The greater kestrel (Falco rupicoloides) or white-eyed kestrel, is a bird of prey belonging to the falcon family Falconidae",greater kestrel,white-eyed kestrel,Falco rupicoloides
321,"The greater lophorina (Lophorina superba), also known as superb bird-of-paradise or greater superb bird-of-paradise, is a species of the Paradisaeidae (bird-of-paradise) family",greater lophorina,"superb bird-of-paradise, greater superb bird-of-paradise",Lophorina superba
322,The greater painted-snipe (Rostratula benghalensis) is a species of wader in the family Rostratulidae,greater painted-snipe,,Rostratula benghalensis
323,The greater pewee (Contopus pertinax) is a passerine and is in the tyrant flycatcher group,greater pewee,Contopus pertinax,"Passerine, Tyrant Flycatcher"
324,The greater racket-tailed drongo (Dicrurus paradiseus) is a medium-sized Asian bird which is distinctive in having elongated outer tail feathers with webbing restricted to the tips,greater racket-tailed drongo,,Dicrurus paradiseus
325,"The greater roadrunner (Geococcyx californianus) is a long-legged bird in the cuckoo family, Cuculidae, from the Aridoamerica region in the Southwestern United States and Mexico",greater roadrunner,,Geococcyx californianus
326,"The greater sage-grouse (Centrocercus urophasianus), also known as the sagehen, is the largest grouse (a type of bird) in North America",greater sage-grouse,sagehen,Centrocercus urophasianus
327,The greater sand plover (Charadrius leschenaultii) is a small wader in the plover family of birds,greater sand plover,,Charadrius leschenaultii
328,"The American robin, also known as the robin redbreast, is a migratory songbird with the scientific name Turdus migratorius.",American robin,robin redbreast,Turdus migratorius
329,The greater swamp warbler (Acrocephalus rufescens) is a species of Old World warbler in the family Acrocephalidae,Greater Swamp Warbler,,Acrocephalus rufescens
330,The greater thornbird (Phacellodomus ruber) is a species of bird in the family Furnariidae,greater thornbird,,Phacellodomus ruber
331,"The greater vasa parrot (Coracopsis vasa) is one of two species of vasa parrot, the other being the lesser vasa parrot C",Vasa Parrot,"Greater Vasa Parrot, Lesser Vasa Parrot",Coracopsis vasa
332,The greater wagtail-tyrant (Stigmatura budytoides) is a South American species of bird in the family Tyrannidae,greater wagtail-tyrant,,Stigmatura budytoides
333,The greater yellow finch (Sicalis auriventris) is a species of bird in the family Thraupidae,greater yellow finch,,Sicalis auriventris
334,"The greater yellow-headed vulture (Cathartes melambrotus), also known as the forest vulture,[3] is a species of bird in the New World vulture family Cathartidae",greater yellow-headed vulture,forest vulture,Cathartes melambrotus
335,"The great-tailed grackle or Mexican grackle (Quiscalus mexicanus) is a medium-sized, highly social passerine bird native to North and South America",Great-tailed Grackle,Mexican Grackle,Quiscalus mexicanus
336,The great-winged petrel (Pterodroma macroptera) is a petrel,Great-winged petrel,,Pterodroma macroptera
337,"The green araçari (Pteroglossus viridis), is a toucan, a near-passerine bird",Green araçari,Toucan,Pteroglossus viridis
338,Stictospiza formosaEstrilda formosa Sporaeginthus formosus,Stictospiza formosa,"Estrilda formosa, Sporaeginthus formosus",Stictospiza formosa
339,The green-backed twinspot or green twinspot (Mandingoa nitidula) is an estrildid finch found in many parts of Sub-Saharan Africa,Green-backed Twinspot,Green Twinspot,Mandingoa nitidula
340,The green barbet (Stactolaema olivacea) is a species of bird in the Lybiidae family (African barbets),green barbet,,Stactolaema olivacea
342,The green broadbill (Calyptomena viridis) also known as the lesser green broadbill is a small bird in the family Calyptomenidae,green broadbill,lesser green broadbill,Calyptomena viridis
343,"The green catbird (Ailuroedus crassirostris) is a species of bowerbird found in subtropical forests along the east coast of Australia, from southeastern Queensland to southern New South Wales",green catbird,,Ailuroedus crassirostris
344,The green cochoa (Cochoa viridis) is a bird species that was variously placed with the thrushes of family Turdidae or the related Muscicapidae (Old World flycatchers),green cochoa,,Cochoa viridis
345,"The green crombec (Sylvietta virens) is a species of African warbler, formerly placed in the family Sylviidae",Green Crombec,,Sylvietta virens
346,The green figbird or Timor figbird (Sphecotheres viridis) is a species of bird in the family Oriolidae,green figbird,Timor figbird,Sphecotheres viridis
347,"The green hermit (Phaethornis guy) is a large hummingbird that is a resident breeder from southern Central America (Costa Rica and Panama) south to northern South America (north-eastern Venezuela and Trinidad, and the northern Andes of eastern Peru)",Green Hermit,,Phaethornis guy
348,The green honeycreeper (Chlorophanes spiza) is a small bird in the tanager family,green honeycreeper,,Chlorophanes spiza
349,"The green hylia (Hylia prasina) is a monotypic genus widespread in tropical Africa, where it mostly inhabits the understory and mid-stratum of moist forest",Green Hylia,,Hylia prasina
350,"The green ibis (Mesembrinibis cayennensis), also known as the Cayenne ibis, is a wading bird in the ibis family Threskiornithidae",green ibis,Cayenne ibis,Mesembrinibis cayennensis
351,The green imperial pigeon (Ducula aenea) is a large forest pigeon,green imperial pigeon,,Ducula aenea
352,The green iora (Aegithina viridissima) is a species of bird in the family Aegithinidae,green iora,,Aegithina viridissima
353,"The green jay (Cyanocorax luxuosus) is a species of the New World jays, and is found in Central America",Green Jay,,Cyanocorax luxuosus
354,The green jery (Neomixis viridis) is a species of bird in the family Cisticolidae,Green jery,,Neomixis viridis
355,"The green junglefowl (Gallus varius), also known as Javan junglefowl, forktail or green Javanese junglefowl, is the most distantly related and the first to diverge at least 4 million years ago among the four species of the junglefowl",Green Junglefowl,"Javan Junglefowl, Forktail, Green Javanese Junglefowl",Gallus varius
356,"The green longtail (Urolais epichlorus) is a bird species of the family Cisticolidae, in the monotypic genus Urolais",green longtail,,Urolais epichlorus
357,The green malkoha or whistling yellowbill (Ceuthmochares australis) is a species of cuckoo in the family Cuculidae,green malkoha,whistling yellowbill,Ceuthmochares australis
358,The green mango (Anthracothorax viridis) is a large species of hummingbird in the subfamily Polytminae,hummingbird,,Anthracothorax viridis
359,The green oriole or Australasian yellow oriole (Oriolus flavocinctus) is an inconspicuous inhabitant of lush tropical vegetation throughout Australia and New Guinea,green oriole,Australasian yellow oriole,Oriolus flavocinctus
360,The green oropendola (Psarocolius viridis) is a species of bird in the family Icteridae,green oropendola,,Psarocolius viridis
361,"The green parakeet (Psittacara holochlorus) is a medium-sized parrot occurring in North and Central America, from the southernmost tip of Texas south to northern Nicaragua",green parakeet,,Psittacara holochlorus
362,The green peafowl or Indonesian peafowl (Pavo muticus) is a peafowl species native to the tropical forests of Southeast Asia and Indochina,peafowl,"green peafowl, Indonesian peafowl",Pavo muticus
363,The green pygmy goose (Nettapus pulchellus) is a small perching duck which breeds in southern New Guinea and northern Australia,green pygmy goose,small perching duck,Nettapus pulchellus
364,The green racket-tail (Prioniturus luconensis) is an endemic parrot of the Philippines where it is found on Luzon and Marinduque,Green Racket-tail,,Prioniturus luconensis
365,The green rosella or Tasmanian rosella (Platycercus caledonicus) is a species of parrot native to Tasmania and Bass Strait islands,green rosella,Tasmanian rosella,Platycercus caledonicus
366,The green sandpiper (Tringa ochropus) is a small wader (shorebird) of the Old World,green sandpiper,,Tringa ochropus
367,The green shrike-babbler (Pteruthius xanthochlorus) is a bird species that was earlier placed in the family Timaliidae,Green Shrike-Babbler,,Pteruthius xanthochlorus
368,The green shrike-vireo (Vireolanius pulchellus) is a species of bird in the family Vireonidae,Green Shrike-Vireo,,Vireolanius pulchellus
369,The green tinkerbird (Pogoniulus simplex) is a species of bird in the Lybiidae family (African barbets),green tinkerbird,,Pogoniulus simplex
370,"The green warbler (Phylloscopus nitidus), also known as green willow warbler or green leaf warbler, is a leaf warbler found in the Caucasus Mountains in southeastern Europe",Green Warbler,"Green Willow Warbler, Green Leaf Warbler",Phylloscopus nitidus
371,"The green warbler-finch (Certhidea olivacea) is a species of bird, one of Darwin's finches in the tanager family Thraupidae",green warbler-finch,,Certhidea olivacea
372,The green white-eye (Zosterops stuhlmanni) is a bird species in the family Zosteropidae,green white-eye,,Zosterops stuhlmanni
373,"The green wood hoopoe (Phoeniculus purpureus) is a large, up to 44 cm (17 in) long, near-passerine tropical bird native to Africa",green wood hoopoe,,Phoeniculus purpureus
374,The green-and-black fruiteater (Pipreola riefferii) is a species of bird in the family Cotingidae,Fruiteater,,Pipreola riefferii
375,"The green-and-gold tanager (Tangara schrankii) is a species of bird in the family Thraupidae, the tanagers",green-and-gold tanager,,Tangara schrankii
376,"The green-and-white hummingbird (Elliotomyia viridicauda) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",hummingbird,,Elliotomyia viridicauda
377,The green-backed becard (Pachyramphus viridis) is a species of bird in the family Tityridae,Green-backed Becard,,Pachyramphus viridis
378,"The green-backed camaroptera (Camaroptera brachyura), also known as the bleating camaroptera, is a small bird in the family Cisticolidae",green-backed camaroptera,bleating camaroptera,Camaroptera brachyura
